Native, 1, 3819.835693
Native, 2, 7639.671386
Native, 3, 11459.507079
Native, 4, 15279.342772

NightWatch, 1, 5559.974121
NightWatch, 2, 7885.008301
NightWatch, 3, 11956.233398
NightWatch, 4, 18168.396484

NightWatch, 1, 5552.591797
NightWatch, 2, 7893.483398
NightWatch, 3, 11994.812500
NightWatch, 4, 18199.412109

NightWatch, 1, 3799.350098
NightWatch, 2, 9970.159180
NightWatch, 3, 14034.782227
NightWatch, 4, 16004.490234

NightWatch, 1, 3799.033203
NightWatch, 2, 9965.120117
NightWatch, 3, 14061.160156
NightWatch, 4, 16042.222656

NightWatch, 1, 3820.314209
NightWatch, 2, 9982.958008
NightWatch, 3, 14054.492188
NightWatch, 4, 16029.498047

NightWatch, 1, 3825.197998
NightWatch, 2, 9996.325195
NightWatch, 3, 11954.165039
NightWatch, 4, 18168.070312


Relative, 1.119289961
