CPU,Init,MemAlloc,HtoD,Exec,DtoH,Close,Total
backprop,809.846008,57.368,890.051025,5.204,83.491999,529.994019,2380.858887
bfs,823.343018,8.819,213.434998,839.612183,52.7577996,436.916992,2493.092041
gaussian,859.830994,3.286,520.955017,10626.738281,653.982971,395.049988,13059.851562
hotspot,806.817993,2.399,110.495003,824.155029,173.289993,340.143005,2257.30049
lud,834.125,1.042,126.641998,940.513,15.98,363.925995,2282.228027
nn,780.007996,1.728,108.892998,1997.954834,0.801,266.553986,3160.290039
pathfinder,721.296997,4.789,143.792007,1322.018188,51.721001,297.575012,2541.561035
srad,810.018005,12.485,871.551025,1229.933716,247.577979,667.901978,3840.218018
