GPU,Init,MemAlloc,HtoD,Exec,DtoH,Close,Total
backprop,37.7619,10.4126,210.191,4.14507,74.9805,2.16857,342.144
bfs,37.8443,0.267667,26.4637,0.288933,2.24,1.47707,70.2867
gaussian,36.7278,0.0930667,6.65653,8306.89,13.866,1.17987,8366.59
hotspot,37.6528,0.1076,1.70613,774.651,173.136,0.972567,989.199
lud,38.4835,0.0668667,9.3376,844.523,34.6115,1.50177,930.026
nn,43.0802,0.0718,0.401333,0.293267,0.149067,0.9149,45.8255
pathfinder,37.2794,0.165533,21.5409,0.111467,13.5875,1.3641,75.4129
srad,43.5762,0.2678,1.88867,711.602,16.4355,1.6734,388.707
