,,,,,164029,163265,163351,177933,163051,177814,177780,162972,162997,177781,163195,163295,178137,163660,164397,179235,164400,179369,164350,164311,179326,164379,164358,179285,164373,164478,179297,164396,179325,164344,164329,179278,164381,164308,179289,164370,164363,179274,164385,179434,164429,164421,179271,164415,164372,164404,179318,164383,164359,179195,164283,179200,179352,164401,164407,164391,179339,164480,179318,164465,164404,179420,164387,164391,179366,164388,164413,179332,164364,179370,164281,164408,179288,164436,164365,179243,164438,164399,179301,164272,179275,164402,164393,179240,164340,164355,179429,164345,164326,179217,164313,179300,164221,164361,179178,164304,164311,179307,164337,164399,179368,164480,179196
,,0.0006927020499,0.03809393802,,0.04297954147,0.04325608788,-0.0004195183195,-0.0428368811,0.04419368076,-0.04265580701,-0.0425634229,0.0007051451066,0.0444178023,-0.0428475479,4.901870676E-05,0.04343623689,-0.04372357909,0.04339947979,-0.0002342440458,-0.04253369978,0.0434018585,-0.04371986931,3.346404592E-05,0.04346611169,-0.04359110894,6.38726926E-05,0.0433456535,-0.04348610557,0.04344764576,-0.0005261829231,-0.04367743832,0.04329152967,-0.04370980415,3.954962108E-05,0.04359238501,-0.04351217241,-0.000179493342,0.04377582494,-0.04350634989,0.04334819402,-2.129478369E-05,-0.04355570561,0.04336389533,-0.04377923075,-0.0003498173345,0.04323512811,-0.0433742583,-0.0002555164169,0.04339501305,0.04310018684,-0.04353240707,0.04337275076,-4.867630863E-05,-0.04322640741,0.04348155178,-0.0429579965,-0.04370293642,0.04313714078,0.04331659403,2.129024998E-05,-0.04350583608,0.04308948056,-0.04365083984,-0.0004684040198,0.04340919736,-0.04406523226,0.04333277077,-0.0003438109466,-0.04400615813,0.04329911307,-0.0004715962163,-0.04377484562,0.04331908281,-0.04378946143,6.695396002E-05,0.04333304239,-0.04361290022,0.04310051355,9.733485013E-05,-0.04364255666,0.04305824706,-0.0002007714491,-0.04366427143,0.043481552,-0.0437437959,-0.000401616201,0.04314750358,-0.04345497466,0.04343650413,-0.00013691753,-0.04413887014,0.04320969686,-5.172912197E-05,-0.04351851313,0.04339878033,-0.04382857459,0.0001309039987,0.0431694673,-0.04330357923,0.04344560785,0.0001886310255,-0.04374476111,0.04340385405,-0.0004564153745,-0.04393576962,0.04279154761,-0.0432018629
"gaussian","heartwall",,,,220994,208619,208584,238452,223502,238364,208584,208573,208582,223541,238382,223498,223495,208611,238378,238373,208537,223575,238392,238393,208596,208623,253360,238453,208599,208568,208603,223530,223387,238288,223360,208453,223494,238331,238357,208590,223452,253198,223432,208644,238396,238300,223505,208551,208456,238378,223453,238329,208581,208569,208590,208572,238248,238267,223459,208483,238419,253247,208573,208579,223524,253240,208640,223360,208597,223452,253283,208562,208528,223489,223533,253277,208597,208483,223472,253126,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,222727,209399,279116,209218,209994,208835,209507,209223,279088,210003,208764,209535,209244,279142,210011,208797,209498,279123,209292,209971,208813,279135,209401,209159,209937,208712,279074,209336,209057,209843,208591,209324,278994,209144,209958,208647,279016,209321,209175,209987,278965,208611,209240,209151,278947,209907,208662,209309,209201,209880,208666,278938,209334,209174,209849,279027,208671,209249,209164,209796,278910,208668,209310,209207,278936,209869,208625,209304,209163,209918,278976,208599,209373,279013,209220,209871,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.002192154649,0.07484807357,,-0.003905607352,-0.001865948356,-0.1446216937,0.06530256662,0.03116061048,0.06603100633,-0.002207653358,-0.001555783205,-0.1445772756,0.03122635765,0.06623787309,0.03224465572,0.03293209071,-0.1446039286,0.06326426384,0.06614039403,-0.002298850575,-0.1104997434,0.06500120621,0.06339045954,-0.0005198737929,-0.1445634926,0.09499287969,0.06544507296,-0.003196857618,-0.0003450920245,-0.1445034316,0.03279074818,0.03313723858,0.06347474288,0.03419137819,-0.002084844307,-0.1104503988,0.06522599028,0.06334608478,-0.0001366130041,-0.1105821664,0.09486529202,0.03295600857,-0.003208075847,-0.07841526516,0.06643157139,0.03296398572,-0.001436430757,-0.1446256999,0.06351093612,0.03422931396,0.06482917,-0.001484027555,-0.003132998287,-0.0001821423778,-0.1443375521,0.0646004531,0.06502086309,0.03140952856,-0.1447026728,0.06653693887,0.09513163357,-0.00141476575,-0.002908873618,-0.1102353742,0.09649540601,-0.001603062567,0.03271863087,-0.1442753619,0.03134627678,0.09668159027,-0.001775688857,-0.001520262586,0.0313123692,-0.1103323523,0.0967315903,-0.001856592578,-0.1446781102,0.03293797898,0.09342393147,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gaussian","hotspot3D",,,,190353,287278,191500,287159,190040,194769,285806,193320,191852,285406,191905,286092,195107,189370,288659,194645,285548,195704,190206,291097,188837,289780,192547,189704,287109,188729,290330,188186,289139,193849,192318,287527,188153,195464,285089,192148,289571,190656,195706,287661,192308,284902,192401,191087,288478,194674,290003,194211,191702,288322,191355,288314,191562,190041,290801,192691,287804,192705,195418,287594,189750,196678,284575,196239,286186,192497,195244,285307,193286,290959,189993,193079,283046,192939,190503,292151,189742,291084,193494,192623,290599,,,,,,,,,,,,,,,,,,,,,,
,,,,,183207,231920,247796,202539,269180,198890,230735,251883,197273,247650,232513,215877,267627,184047,251705,232666,199200,270435,201312,249803,231531,202160,278657,183018,248439,232299,217072,269646,183461,267828,216269,197791,269829,198377,230232,251983,202014,266276,199730,249806,236107,194943,268857,214307,235346,231198,217500,253082,213792,219477,263593,185884,266270,217480,250453,233411,183594,284373,200145,217831,265808,200945,251891,218810,201571,282718,185008,249301,232102,203370,252908,215956,233535,247712,198667,269621,201095,218359,266402,200593,235646,,,,,,,,,,,,,,,,,,,,,,
,,-0.006207066376,0.1303362115,,0.01912945712,0.1066221364,-0.1281504953,0.172800379,-0.1723356997,-0.01046845112,0.1066149638,-0.1315422403,-0.01393125602,0.07082933125,-0.0956792596,0.1398791559,-0.1567207078,0.0142548411,0.06838723527,-0.08897734905,0.1781296674,-0.1603191323,-0.02836651188,0.07634313182,-0.1015633921,0.1781111518,-0.1827446287,0.01793830254,0.07220641287,-0.1034848039,0.1443786189,-0.1779255273,0.223609818,-0.1602397347,-0.05861909459,0.1849014461,-0.1783388867,-0.007396385851,0.1064520949,-0.1347237639,0.1781116185,-0.1654950846,-0.01017610941,0.07043223119,-0.1022349824,0.1874751222,-0.1657553907,-0.05727761141,0.101431015,-0.08576285832,0.1428622097,-0.1316161889,-0.05447676168,0.1355752965,-0.1587829818,0.2160068157,-0.1631777595,-0.06733149948,0.07454540752,-0.09556397295,0.2210658509,-0.1921446807,-0.011950056,0.1380283919,-0.1669556895,-0.01073127058,0.06092464387,-0.05438153086,0.1734777768,-0.1898530139,0.02691899056,0.06735028282,-0.09124846023,0.1771876625,-0.1420520613,-0.05592919921,0.09584363343,-0.1243001831,-0.02097797878,0.04010523842,-0.02904791512,0.1427539489,-0.1585314941,-0.02026875814,0.1044247451,,,,,,,,,,,,,,,,,,,,,,
"gaussian","lavaMD",,,,179587,194922,164780,195219,165144,195301,165563,195382,180866,180529,180237,180311,180164,180463,180001,180066,180114,180171,180385,196530,165316,195943,180377,181184,180292,180728,180096,195362,165110,195039,165067,195121,180473,180339,165181,196926,182100,182043,181598,181192,181988,181271,197478,166411,181444,181425,181577,181686,181880,196734,166323,196607,166791,196504,181587,181797,181418,181919,182171,182084,182261,182283,197302,167049,197338,167342,197574,166787,196712,181791,181312,166461,197212,182055,181351,181533,181963,197317,166572,181969,181333,196522,166318,197292,166769,197485,,,,,,,,,,,,,,,,,
,,,,,191431,170183,191619,170646,191775,170501,192051,170484,192412,170727,191841,170546,191844,170484,170485,191884,191820,170482,191907,171946,192092,171261,170585,192482,191842,170940,191815,170725,191789,170481,191831,170483,192422,170571,191863,171439,194103,171693,192990,171056,193595,192352,172193,193052,171034,170968,192676,171461,192946,171470,192382,171208,192971,170912,192577,171083,192655,171522,193425,193328,171986,193990,171820,193774,171801,194292,172287,193259,171338,192854,171000,192519,171767,193081,171051,192768,193374,171986,192775,171685,192563,171014,192479,171759,192947,172442,,,,,,,,,,,,,,,,,
